model,modeli,count,year,type,stype,size,emp,make
OLYMPUS+CORPORATION+X-3%2CC-60Z,OLYMPUS+CORPORATION+X-3%2CC-60Z,1,2004,c,ccd,38.277552,6,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-300,OLYMPUS+IMAGING+CORP.+E-300,1,2004,dslr,ccd,224.9,8,OLYMPUS
OLYMPUS+IMAGING+CORP.+Olympus+E-500,OLYMPUS+IMAGING+CORP.+E-500,2,2005,dslr,ccd,224.9,8,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-500,OLYMPUS+IMAGING+CORP.+E-500,5,2005,dslr,ccd,224.9,8,OLYMPUS
OLYMPUS+IMAGING+CORP.+FE210%2CX775,OLYMPUS+IMAGING+CORP.+FE210%2CX775,1,2007,c,ccd,24.745152,7,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-410,OLYMPUS+IMAGING+CORP.+E-410,2,2007,dslr,cmos,224.9,10,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-510,OLYMPUS+IMAGING+CORP.+E-510,5,2007,dslr,cmos,224.9,10,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-3,OLYMPUS+IMAGING+CORP.+E-3,1,2007,dslr,nmos,224.9,10,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-420,OLYMPUS+IMAGING+CORP.+E-420,5,2008,dslr,cmos,224.9,10,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-520,OLYMPUS+IMAGING+CORP.+E-520,7,2008,dslr,cmos,224.9,10,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-620,OLYMPUS+IMAGING+CORP.+E-620,2,2009,dslr,cmos,224.9,12,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-5,OLYMPUS+IMAGING+CORP.+E-5,1,2010,dslr,cmos,224.9,12,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-PL1,OLYMPUS+IMAGING+CORP.+E-PL1,3,2010,mrls,cmos,224.9,12,OLYMPUS
OLYMPUS+IMAGING+CORP.+XZ-1,OLYMPUS+IMAGING+CORP.+XZ-1,5,2011,c,ccd,44.8692,10,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-P3,OLYMPUS+IMAGING+CORP.+E-P3,1,2011,mrls,cmos,224.9,12,OLYMPUS
OLYMPUS+IMAGING+CORP.+SP-820UZ,OLYMPUS+IMAGING+CORP.+SP-820UZ,1,2012,c,cmos,28.0735,14,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-M5,OLYMPUS+IMAGING+CORP.+E-M5,14,2012,mrls,cmos,224.9,16,OLYMPUS
